id;youtube_url;artist;title;year
197;https://music.youtube.com/watch?v=HNBCVM4KbUM;Bob Marley & The Wailers;Three Little Birds;1977
198;https://music.youtube.com/watch?v=oxHnRfhDmrk;Don McLean;Vincent ( Starry, Starry Night) With Lyrics;2020
199;https://music.youtube.com/watch?v=ec0XKhAHR5I;Creedence Clearwater Revival;Fortunate Son;1969
200;https://music.youtube.com/watch?v=IxuThNgl3YA;Bruce Springsteen;Born to Run;1975
201;https://music.youtube.com/watch?v=lAsvjVx-Mg4;John Miles;Music - 1976;2020
202;https://music.youtube.com/watch?v=Wq4tyDRhU_4;Editors;Papillon;2009
203;https://music.youtube.com/watch?v=d27gTrPPAyk;Sting;Englishman In New York;1987
204;https://music.youtube.com/watch?v=bpZvg_FjL3Q;Bob Dylan;Hurricane;1976
205;https://music.youtube.com/watch?v=J-QAKCP8ong;Motörhead;Ace of Spades;1980
206;https://music.youtube.com/watch?v=FJ-r0bilzhU;Elvis Presley;In the Ghetto;1969
207;https://music.youtube.com/watch?v=ETj8kXNAtuE;Beth Hart;Leave The Light On (Live At The Royal Albert Hall);2020
208;https://music.youtube.com/watch?v=lrpXArn3hII;Bruce Springsteen;I'm On Fire;1984
209;https://music.youtube.com/watch?v=YQHsXMglC9A;Adele;Hello;2015
210;https://music.youtube.com/watch?v=CSvFpBOe8eY;System Of A Down;Chop Suey!;2001
211;https://music.youtube.com/watch?v=TnRZhLRv6eM;Slayer;Angel Of Death;1986
212;https://music.youtube.com/watch?v=DtVBCG6ThDk;Elton John;Rocket Man;1972
213;https://music.youtube.com/watch?v=TFqv6O8onkE;Rowwen Heze;clip November;2020
214;https://music.youtube.com/watch?v=PivWY9wn5ps;Michael Jackson;Man In The Mirror;1995
215;https://music.youtube.com/watch?v=5mV_HHL-h6g;Volbeat;Sad Man's Tongue;2007
216;https://music.youtube.com/watch?v=haECT-SerHk;Helene Fischer;Atemlos durch die Nacht;2013
217;https://music.youtube.com/watch?v=OQ4oaLUilBc;Unknown Artist;Deleted video;2020
218;https://music.youtube.com/watch?v=xrlTAksxONk;The Scene;Iedereen Is Van De Wereld (live @ Werchter, 1994);2020
219;https://music.youtube.com/watch?v=co6WMzDOh1o;U2;Beautiful Day;2000
220;https://music.youtube.com/watch?v=cl4cLEToPfc;Eddie Vedder;Society - Into The Wild - HD 1080p - Soundtrack - lyrics;2020
221;https://music.youtube.com/watch?v=Ckom3gf57Yw;Metallica;The Unforgiven;2021
222;https://music.youtube.com/watch?v=5BmEGm-mraE;Creedence Clearwater Revival;Bad Moon Rising;1969
223;https://music.youtube.com/watch?v=0NFV8dHrZYM;Elbow;One Day Like This;2008
224;https://music.youtube.com/watch?v=vn_pUxADmoY;De Dijk;Als Ze Er Niet Is;1994
225;https://music.youtube.com/watch?v=kfrGFGHU6YA;Krezip;I Would Stay;2007
226;https://music.youtube.com/watch?v=4BufkPSYryc;The Load;Out (Remastered);2020
227;https://music.youtube.com/watch?v=IsJOkVwdaQQ;U2;Pride (In The Name Of Love) (Remastered 2009);1984
228;https://music.youtube.com/watch?v=kd9TlGDZGkI;Dire Straits;Walk Of Life;1985
229;https://music.youtube.com/watch?v=2j4MWZevjYw;Racoon;Love You More;2005
230;https://music.youtube.com/watch?v=S_xH7noaqTA;Stromae;Formidable (ceci n'est pas une leçon);2020
231;https://music.youtube.com/watch?v=rAtDrFdomN4;Neil Young;Old Man (2009 Remaster);1972
232;https://music.youtube.com/watch?v=izGwDsrQ1eQ;George Michael;Careless Whisper;2024
233;https://music.youtube.com/watch?v=CSoPkhwflqE;Jackson Browne;Stay (Remastered);1977
234;https://music.youtube.com/watch?v=1vrEljMfXYo;John Denver;Take Me Home, Country Roads;1997
235;https://music.youtube.com/watch?v=89dGC8de0CA;Aerosmith;Dream On;1973
236;https://music.youtube.com/watch?v=3T1c7GkzRQQ;The Police;Roxanne;1978
237;https://music.youtube.com/watch?v=VAc9opfAEYQ;André Hazes;Zij Gelooft In Mij;1981
238;https://music.youtube.com/watch?v=HdWw9SksiwQ;Metallica;Fade To Black;1984
239;https://music.youtube.com/watch?v=e1uqfO2-oJA;Charles Aznavour;She;1974
